sim_type,sim_name,As,bary_Mc,bary_nu,H0,O_cdm,O_nu,Ob,Om,ns,s8,w0
grid,cosmo_000487,1.663180646612341e-08,190237826318847.84,-0.6171875,64.24609375,0.120408858676,0.001563797573999992,0.04130859375,0.16328125,0.970390625,1.058203125,-0.694400390625
grid,cosmo_000488,7.561421872968927e-09,123536950042445.31,1.1328125,69.87109375,0.132525511839,0.001322144411000016,0.05443359375,0.18828125,1.007890625,0.745703125,-0.590212890625
grid,cosmo_000490,4.1554349351592435e-10,21968321463948.754,0.1328125,65.37109375,0.454837219454,0.0015104367959999782,0.03193359375,0.48828125,0.957890625,0.495703125,-1.006962890625
grid,cosmo_000494,1.985162501235484e-09,9263964347542.262,-1.3671875,67.62109375,0.286186062634,0.0014115936159999967,0.05068359375,0.33828125,0.982890625,0.870703125,-1.215337890625
grid,cosmo_000495,7.365640350595823e-08,292952275008292.3,0.6328125,76.62109375,0.101498201786,0.0010994544639999979,0.03568359375,0.13828125,0.882890625,1.370703125,-0.381837890625
grid,cosmo_000496,1.1078468814742955e-08,3148088080484.504,1.5078125,73.80859375,0.0842253149828,0.0011848412672000042,0.04037109375,0.12578125,0.951640625,0.839453125,-0.850681640625
grid,cosmo_000498,8.076682727109645e-10,559818021451454.9,0.5078125,78.30859375,0.376857576158,0.001052580092000023,0.04787109375,0.42578125,1.001640625,0.589453125,-0.433931640625
grid,cosmo_000499,4.292278136452924e-09,17703000229955.984,-1.4921875,69.30859375,0.191566463752,0.001343692497999982,0.03287109375,0.22578125,0.901640625,1.089453125,-1.267431640625
grid,cosmo_000503,1.1636320838646185e-08,7465293297167.825,0.0078125,71.55859375,0.12289963413,0.001260522119999996,0.05162109375,0.17578125,1.026640625,1.214453125,-1.059056640625
grid,cosmo_000511,3.88068716005941e-08,11496003173122.86,-0.2421875,79.43359375,0.0425121798129,0.0010229764371000039,0.05724609375,0.10078125,0.939140625,0.901953125,-0.954869140625
grid,cosmo_000515,3.036516500167661e-09,800424387790939.0,0.69921875,80.224609375,0.166799831634,0.0010029027409999974,0.033369140625,0.201171875,0.9991015625,0.9009765625,-0.852309570312
grid,cosmo_000516,1.6851769904076948e-09,60023361341290.125,1.19921875,64.474609375,0.190000001934,0.0015527324410000015,0.059619140625,0.251171875,0.8741015625,0.5259765625,-1.060684570313
grid,cosmo_000518,1.6556290608408355e-09,10673830759454.248,0.19921875,68.974609375,0.312695997871,0.0013567365040000265,0.037119140625,0.351171875,1.0241015625,0.7759765625,-0.643934570312
grid,cosmo_000524,2.9711489120987817e-09,38978068320495.47,-1.05078125,76.849609375,0.174834808455,0.0010929259200000013,0.050244140625,0.226171875,0.9866015625,0.8384765625,-0.956497070312
grid,cosmo_000526,9.845921708711105e-10,6931389633742.751,-0.05078125,81.349609375,0.282452378597,0.000975355777999988,0.042744140625,0.326171875,0.9366015625,0.5884765625,-0.539747070313
grid,cosmo_000532,1.8634086429305355e-09,2355430598453.073,-1.67578125,71.787109375,0.25311272472,0.0012525096550000045,0.034306640625,0.288671875,0.9303515625,0.7447265625,-0.696028320312
grid,cosmo_000534,5.930819622905314e-10,418861373500475.8,-0.67578125,67.287109375,0.330439592895,0.0014256414799999756,0.056806640625,0.388671875,0.9803515625,0.4947265625,-1.112778320313
grid,cosmo_000538,3.1162529970944535e-10,645015739795095.0,-1.92578125,77.412109375,0.430163133823,0.0010771005520000335,0.032431640625,0.463671875,1.0678515625,0.5572265625,-1.425340820312
grid,cosmo_000539,6.646923162853887e-09,20397188644110.094,0.07421875,68.412109375,0.214861095425,0.0013791389499999904,0.047431640625,0.263671875,0.9678515625,1.0572265625,-0.591840820313
grid,cosmo_000542,1.435207415326105e-09,272000882127991.8,0.57421875,75.162109375,0.261347682003,0.0011425523719999775,0.051181640625,0.313671875,0.8928515625,0.6822265625,-0.800215820313
grid,cosmo_000545,1.8398041987208724e-09,22721934966921.47,-0.98828125,67.568359375,0.28092018661,0.0014137977650000091,0.037587890625,0.319921875,1.0334765625,0.9166015625,-1.451387695313
grid,cosmo_000546,5.159204686664108e-10,4040594910791.9883,0.01171875,81.068359375,0.388851849138,0.0009821352369999738,0.030087890625,0.419921875,0.9834765625,0.6666015625,-1.034637695313
